 , , female, , , , 																															
																															
vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants
EH	1	seventeen	814.6	1681.9	2587.7	79.8	286.1	320.9	10.929	10.896	10.961	0.065	2	3	2	2	3	2			781.6	1697.3	800.4	1690.8	814.6	1681.9	815.5	1666.3	797.5	1589.5	5
IY	1	seventeen	621.9	2628.3	4196.2	333.5	152.5	701.1	11.24	11.225	11.254	0.029	11	4	4	2	3	0			615.4	2624.3	615.4	2624.3	621.9	2628.3	628.7	2634.4	628.7	2634.4	3
EH	1	seventy	751.9	1746.4	2746.8	69.4	206	381.1	11.517	11.493	11.54	0.047	2	3	2	2	3	2			733.4	1770	739.1	1769	750.7	1751.5	755.2	1694.3	753	1660.8	5
EY	1	eight	402.5	2450.6	2929.8	66.8	562.2	165.8	11.875	11.825	11.924	0.099	21	1	4	1	0	0			451.6	2654.8	409.2	2473.8	402.5	2450.6	401.7	2497.3	403.1	2540.4	5
AY	1	nearby	882.5	1975	2607	134.4	320.6	983.8	13.227	13.15	13.304	0.154	41	1	0	1	1	0		m	866.5	1495.9	908.4	1720.1	882.5	1975	782.8	2021.2	729.9	2007.5	5
IY	1	being	488.8	2403.4	3094	239.7	157.1	482.7	14.139	14.109	14.168	0.059	11	0	0	0	1	1			458.1	2257.1	468.4	2329.8	486.8	2395.8	499.1	2459.5	525.3	2511.1	4
EY	1	main	638.7	2510.8	3295.7	165.1	216.7	506.6	14.813	14.765	14.86	0.095	21	4	4	2	2	0			650.9	2460.6	649.8	2544.4	638.7	2510.8	624	2472.8	627.3	2438	4
IH	1	visitors	595.7	1809.4	2937.5	108.2	236.6	329.3	16.093	16.069	16.116	0.047	1	3	4	2	1	2			605.4	1842.5	604.5	1835.2	597	1813.4	586.7	1772	583.8	1758.5	4
EY	1	late	510.9	2429.7	3093	115.2	220.9	450.7	17.286	17.232	17.34	0.108	21	1	4	1	7	0			543.7	2294	521.8	2416.2	510.9	2429.7	485.4	2420	481.6	2410.9	5
AY	1	nine	858.4	1991.5	3084.9	216.6	153.6	496.9	17.512	17.467	17.557	0.09	41	4	4	2	4	0		s	824.8	1822.8	865.7	1903.3	858.4	1991.5	780.3	2073.1	708.5	2164.5	5
IY	1	teenth	503	2415.3	3019.5	105.8	245.3	428.6	17.747	17.721	17.773	0.052	11	4	4	2	3	3			530	2467.5	516.9	2476.3	503	2415.3	501.3	2315.5	501.9	2247.1	4
EH	1	century	832.1	1824.8	2809.2	136.5	145.2	319.1	17.995	17.955	18.034	0.079	2	4	4	2	3	5			767.3	1787.1	801.8	1796.3	832.1	1824.8	837.1	1818.6	804.2	1814.2	5
EH	2	destination	759	1770	2850	65.8	298.4	388.6	19.757	19.719	19.794	0.075	2	3	4	1	3	5			675.1	1827.7	720.2	1790.7	759	1770	766.6	1800.2	737.9	1803.1	5
EY	1	destination	675.6	2401.7	3125.9	106.2	361.1	415.4	20.106	20.055	20.157	0.102	21	3	5	1	4	1			675.3	2330.2	682.2	2361.5	675.6	2401.7	663	2445.7	653.8	2444.2	4
OW	1	those	496	1340.5	2736.7	91.1	197.3	372.9	21.844	21.773	21.914	0.141	62	3	4	2	3	0			492.4	1405.6	494.5	1372.4	495.7	1343.8	500.4	1522.1	504.3	1710	5
AY	1	time	967.8	1868.5	2650.5	174	136.6	542.2	22.396	22.331	22.46	0.129	41	4	1	2	3	0		s	962.6	1583.7	1020.1	1719.9	967.8	1868.5	846	1981.2	789.1	2079.1	5
EY	1	make	590.9	2443.6	2772.8	67.3	380.2	652.5	22.782	22.751	22.813	0.062	21	1	6	1	2	0			600.9	2139.2	598.4	2341.6	590.9	2443.6	582.9	2448.8	572.9	2447.9	5
ER	1	journey	583.8	2101.9	2682.3	48	359.1	570.8	23.139	23.075	23.203	0.128	94	4	4	2	5	1			507.4	2204.5	558.5	2166.1	583.8	2101.9	605.2	2122.8	601	2123.1	5
AW	2	however	611.7	1034.1	2714.6	111.3	109.6	550.1	24.412	24.354	24.469	0.115	42	0	0	0	0	2			805.7	1240.3	746.6	1122.9	611.7	1034.1	517.1	1063.5	523.4	1059	5
EH	1	however	730	1329.8	2546.6	73.9	315.4	294.3	24.511	24.469	24.552	0.083	2	3	2	2	0	1			629.5	1233.6	685.4	1287.6	730	1329.8	749.3	1346.5	733.6	1290	5
AE	1	advent	945	1502.1	2372.6	154.2	389.5	400.3	25.594	25.535	25.652	0.117	3	1	4	2	0	4			910.4	1749.1	953.5	1582.7	945	1502.1	891.9	1533.2	821	1555	5
EH	2	advent	774.9	1821.2	2881.9	120.1	170.3	276.5	25.833	25.785	25.88	0.095	2	4	4	2	1	3			713.4	1771.5	754.2	1808.6	774.9	1821.2	768.6	1836	735.7	1848.7	5
IH	2	international	628.7	2137.6	2976.7	56.3	147.2	303.6	26.597	26.554	26.641	0.087	1	4	4	2	0	5			646.4	2056.6	631.1	2088.8	628.7	2137.6	627.7	2162.6	629.5	2144.2	5
AE	1	international	827.4	1415	2107.7	96	155.8	506.4	26.882	26.842	26.921	0.079	3	3	5	1	4	2			832.7	1476.7	835.1	1447.3	827.4	1415	817.6	1392.8	821.2	1384.3	6
AY	1	flights	696.8	2072.5	2674.7	69.4	145.6	336.2	27.414	27.359	27.469	0.11	47	1	4	1	8	3			809.4	1681.7	776.4	1880	696.8	2072.5	601.1	2244.2	570.5	2377.4	5
AY	1	nineteen	758.6	2097.6	2987.6	101	154.4	488.6	27.922	27.867	27.976	0.109	41	4	4	2	4	4		s	818.7	1889.9	798.2	1960	760.6	2087.9	733.8	2258.6	726.7	2339.1	5
IY	1	nineteen	561.2	2428.6	2971.8	143.8	314.2	416	28.114	28.09	28.138	0.048	11	4	4	2	3	0			539.6	2469.2	542.4	2451.3	561.2	2428.6	587.8	2417	602.3	2402.5	4
IH	1	sixties	562.3	2242.7	3312.8	140.3	223	995.6	28.331	28.314	28.347	0.033	1	1	6	1	3	4			571	2207.4	571	2207.4	562.3	2242.7	555.5	2283.3	555.5	2283.3	4
AA	1	market	829.3	1236.4	2234.1	130.2	114.4	1788.2	29.094	29.048	29.14	0.092	5	1	6	1	2	1			804.9	1182.3	818	1203.8	829.3	1236.4	829.7	1246.3	840.1	1218.7	6
AA	1	started	775	1426.7	2632.5	57.4	241	440.1	29.585	29.53	29.639	0.109	5	1	4	1	3	1			707.1	1476.8	758.3	1424.5	775	1426.7	777.3	1483.1	756	1565.1	5
OW	1	open	449.6	863.7	2016.5	143.1	85.7	503.1	30.001	29.959	30.042	0.083	62	1	1	1	0	1			506.3	971.8	477.8	922.5	449.6	863.7	433.4	819.7	428.7	808.6	6
AE	1	man	784.5	1460.3	2060.5	403.6	198.6	946.9	31.166	31.125	31.206	0.081	3	4	4	2	2	0			893	1464.6	827.4	1438.6	784.5	1460.3	762.7	1474.6	767.7	1491	6
EY	1	today	501.6	2547.7	2944.3	32	349.5	661.7	32.712	32.547	32.877	0.33	22	0	0	0	3	0			531	2408.5	487.6	2510.6	501.6	2547.7	537.7	2522.6	561.4	2404.7	5
IH	1	visit	563.7	1770.2	3094	152.7	202.1	454.6	36.804	36.783	36.824	0.041	1	3	4	2	0	1			551.9	1761.3	554.7	1764.8	563.7	1770.2	571.9	1775.6	572.9	1776.4	5
IY	1	each	559.6	2595.3	3320	138.5	273.4	525	37.567	37.524	37.61	0.086	11	2	5	1	0	0			605	2497.4	592.2	2572	559.6	2595.3	522.4	2629	496	2611.7	4
AH	1	come	781.1	1306.7	1904.8	119.5	116.9	1209	38.749	38.719	38.779	0.06	6	4	1	2	6	0			769.5	1242.4	776.9	1309.2	781.1	1306.7	762.2	1277.2	728.1	1248.4	6
OW	1	both	478.4	1051.2	2091.9	87.8	50.6	2073.7	38.956	38.912	39	0.088	62	3	3	1	1	0			486.6	1045.3	485.4	1051.8	478.4	1051.2	489	1061.4	505	1152.9	6
IY	1	sea	455.9	2676.3	3239.3	224.4	474.9	510.8	40.128	40.073	40.183	0.11	12	0	0	0	3	0			473.5	2551.8	471.7	2651.6	455.9	2676.3	448.1	2683.8	454.5	2796.8	4
AH	1	some	774.7	1581.2	2831.1	183.5	256.4	479.7	40.649	40.625	40.672	0.047	6	4	1	2	3	0			739.1	1636.3	752.1	1625.7	774.7	1581.2	785.5	1511.5	779.7	1478	5
EY	1	staying	641.9	2443.4	3135.5	121.1	93.1	373.8	40.975	40.915	41.035	0.12	21	0	0	0	3	1			564.6	2278.3	598.6	2368.5	641.9	2443.4	645.7	2476.2	645.8	2560.3	4
AW	1	hours	804.4	1285.1	2076.8	54.9	75.3	2127.6	41.883	41.808	41.957	0.149	42	0	0	0	0	1			836	1343.1	838.7	1322.6	804.4	1285.1	747.2	1151.1	686.6	1072.7	6
AY	1	island	894.7	1742.1	2374.1	117.2	319.7	701.5	42.93	42.875	42.985	0.11	41	5	4	2	0	1		m	937.5	1557	929.9	1657.5	894.7	1742.1	846.4	1759.4	793	1807.9	5
AY	1	island	982.1	1634.5	2447.8	202.5	293.8	613.2	43.361	43.302	43.42	0.118	41	5	4	2	0	1			935.5	1565.8	972.4	1547.9	982.1	1634.5	917.9	1739.2	827	1860.4	5
AW	1	found	899.6	1218.4	2495.2	318.6	187.8	443.9	45.497	45.425	45.569	0.144	42	4	4	2	1	3			938.3	1338.3	911.1	1298.6	899.6	1218.4	771.9	1151.7	678.8	1161.6	6
AY	1	islands	967.3	1777.1	2522	272	341.2	699.3	45.921	45.864	45.977	0.113	41	5	4	2	0	1		m	1018.3	1746.4	1020.1	1763.1	967.3	1777.1	890.3	1799.6	799.2	1783.1	5
EY	1	remain	634.4	2540.3	3180	93.7	308.9	580.4	46.468	46.425	46.51	0.085	21	4	4	2	2	0			627	2521.5	626.2	2546.8	634.4	2540.3	637.5	2518.3	635	2485.4	5
IY	1	seas	489	2773.6	3301.1	218.7	315.4	1046.1	48.51	48.39	48.63	0.24	11	3	4	2	3	0			515.2	2716.2	488.5	2745.4	489	2773.6	485.1	2665.4	472.4	2464.6	4
AE	1	dazzling	910.5	1475.1	2529.1	125.8	312.9	472.1	48.898	48.822	48.973	0.151	3	3	4	2	3	1			869.7	1729.2	912	1517.5	910.5	1475.1	871.4	1495.6	768.1	1489.4	5
AE	1	sand	782.8	1501.4	2000.2	383.2	252.8	928.8	51.3	51.246	51.353	0.107	3	4	4	2	3	3			758.5	1545.6	783.2	1546.8	782.8	1501.4	760.5	1476.3	746.6	1487.1	6
IY	1	beaches	442.4	2587	3225.3	134.5	335.9	732.7	51.529	51.484	51.573	0.089	11	2	5	1	1	1			439.1	2479.4	435.7	2549.7	442.4	2587	450.1	2556.7	474.7	2436.4	4
ER	1	birds	533.9	2034.5	2731.4	77.1	136.5	429	52.604	52.51	52.697	0.187	94	1	4	2	1	3			471.8	1974.1	522.3	1970.5	533.9	2034.5	533	2038	523.6	1952.7	5
AH	1	sunny	844.3	1621.3	2880.9	105	295.7	348.8	53.184	53.154	53.214	0.06	6	4	4	2	3	1			792.1	1561.1	822	1579.2	844.3	1621.3	854	1694.2	827.8	1739.6	5
AH	1	stunning	857.3	1604.2	2788.8	119.3	358.7	533.2	54.089	54.056	54.122	0.066	6	4	4	2	3	1			805.2	1610.8	841.3	1585.5	857.3	1604.2	843.1	1632.3	797	1651.7	5
AH	1	sunsets	749.2	1453.6	2803.6	87.8	250.6	316.5	54.49	54.454	54.526	0.072	6	4	4	2	3	4			774.1	1465.1	772.8	1450.6	749.2	1453.6	722.5	1507.7	704.9	1574.9	5
EH	2	sunsets	820.9	1731.5	2805	84.9	340.9	416.2	54.761	54.724	54.798	0.074	2	1	4	1	3	3			753.9	1704.9	795.8	1719.7	820.9	1731.5	811.1	1738.4	795.1	1746.1	5
AY	1	lively	814.8	1903.5	2689.9	107.9	212.8	585.9	55.75	55.695	55.804	0.109	41	3	2	2	7	1			913.7	1615.6	896.4	1757.2	814.8	1903.5	723.5	2057.7	646.1	2258.5	5
AE	1	dance	894.9	1449.1	1951.3	282.7	286.3	505	56.679	56.613	56.744	0.131	3	4	4	2	3	3			839.9	1330.6	902	1442.7	894.9	1449.1	859.3	1450.5	774.2	1450.2	6
AO	1	course	638.8	1132.9	2626	106	144.1	1427.7	57.563	57.512	57.614	0.102	53	3	4	1	6	0			533.3	955.8	593.2	1006.6	638.8	1132.9	650.9	1271.7	648.5	1303.6	6
IY	1	people	494.3	2676.8	3285.7	493.5	241.5	2303.9	58.729	58.696	58.761	0.065	11	1	1	1	1	1			560.1	2544.5	552.7	2633.6	494.3	2676.8	445.4	2544	473.6	2243.4	4
EY	1	favoured	523.4	2374.6	3271.7	188.3	173.6	647.6	61.469	61.42	61.517	0.097	21	3	2	2	1	1			542.4	2257	532.1	2346.9	523.5	2374.6	521.6	2314.1	518.8	2216.6	4
AY	1	islands	928	1610.7	1876.6	220	271.2	936.5	61.72	61.634	61.805	0.171	41	5	4	2	0	1		s	797.5	1439.7	893.6	1480.5	928	1610.7	872.6	1727	763.4	1685.7	6
AO	1	according	618.7	1257.2	2313.8	69.6	111.5	2160.5	62.273	62.238	62.308	0.07	53	1	4	2	6	1			579	1091.8	606	1172.2	618.7	1257.2	621.3	1356.3	616.4	1451.5	6
AE	2	nationality	894.4	1603.8	2756.7	143.4	309.4	539.1	62.796	62.747	62.844	0.097	3	3	5	1	4	2			889.4	1710.1	895.1	1649	895.2	1604.6	871.2	1609.5	804.9	1675.1	5
IH	1	english	664	2375.1	2836	63.2	253.6	465.3	64.213	64.177	64.248	0.071	1	4	6	2	0	4			648.5	2316.3	655.4	2342.3	664	2375.1	679.5	2400.3	708.2	2458.6	5
IH	2	english	519	1334.4	1983.9	117.2	699.4	502.2	64.425	64.392	64.458	0.066	1	3	5	1	8	0			525.5	1542.9	526	1472.8	519	1334.4	517.9	1243.6	527	1280.8	6
IH	1	visiting	536.4	1743.1	2722.6	82.8	232.3	478.9	64.638	64.608	64.668	0.06	1	3	4	2	1	2			512.2	1677	526.4	1716.3	536.4	1743.1	540.8	1756.9	544.7	1782.4	5
EY	1	barbados	536.2	2364.9	3011.9	135	197.7	496.2	65.723	65.673	65.773	0.1	21	1	4	2	1	1			556.6	2228.4	547.7	2343.4	536.2	2364.9	554.5	2330.1	554.6	2229.2	5
EY	1	jamaica	618.7	2511.7	3085.8	132.1	221.2	433.2	66.32	66.269	66.37	0.101	21	1	6	1	2	1			615.8	2426.1	618.6	2488.7	618.7	2511.7	604.1	2550.8	610.2	2611.1	5
EH	1	heading	767.4	1803.2	2478.2	95.4	495.1	709.3	67.441	67.423	67.458	0.035	2	1	4	2	0	1			788.6	1847.6	788.6	1847.6	767.4	1803.2	729.7	1754	729.7	1754	5
EY	1	today's	495	2449.2	3238.3	58	75.8	298.7	69.187	69.094	69.279	0.185	21	3	4	2	3	0			477.6	2328.1	490.6	2408.8	495	2449.2	504.3	2456.3	514.4	2301.6	4
AW	1	without	763	1245.8	2503.3	65	131.5	199.2	70.32	70.255	70.385	0.13	42	1	4	1	3	0			832	1603.5	808.6	1337.3	763	1245.8	649.6	1184.9	592.7	1276.1	5
AW	1	doubt	751.7	1254.1	2540.1	99	113.5	298.6	70.706	70.607	70.804	0.197	42	1	4	1	3	0			821	1454.6	814.8	1354.3	751.7	1254.1	640.7	1143.5	531.7	1096.1	6
AO	1	more	721.3	1076	2535.9	115.7	119.9	2004.5	71.186	71.126	71.246	0.12	53	0	0	0	2	0			702.3	967.5	707	1000.2	721.3	1076	726.3	1196	709	1286.6	6
AY	1	likely	783.5	1978.2	2885.8	84.7	171.4	311.9	71.339	71.292	71.385	0.093	47	1	6	1	7	1			818.4	1718.1	823.1	1863.2	783.5	1978.2	720	2116.5	646.3	2306.2	5
IH	1	pick	540	2137.4	2840.5	141.2	408.3	544.6	71.811	71.793	71.829	0.036	1	1	6	1	1	0			552.2	2131.1	552.2	2131.1	540	2137.4	523.1	2156.3	520.8	2161	5
AY	1	island	881.7	1698	2490.3	166.9	320.3	346.2	72.116	72.053	72.178	0.125	41	5	4	2	0	1		m	947.3	1619.6	950.6	1690.7	881.7	1698	795.6	1724.6	737.5	1772.5	5
AO	1	offers	775.3	1227	2224.2	62.2	128.9	1865	72.982	72.929	73.034	0.105	53	3	2	1	0	1			774.6	1265.5	774	1244.8	775.3	1227	771.9	1170.3	757.8	1124.6	6
IH	1	historical	587.5	1765.3	3017.3	283.5	418.6	634	74.45	74.437	74.462	0.025	1	3	4	1	0	5			587.5	1765.3	587.5	1765.3	587.5	1765.3	587.5	1765.3	587.5	1765.3	5
OW	2	associations	469.8	1507.3	2953.9	95.5	238.9	515.7	75.246	75.205	75.286	0.081	62	3	4	1	3	2			482.9	1469.8	474.7	1473.2	469.8	1507.3	471.5	1570.4	471	1627.4	5
EY	1	associations	538.4	2453	3245	204	243.8	692.9	75.518	75.461	75.574	0.113	21	3	5	1	0	1			508.4	2567.9	524.5	2513.2	538.4	2453	559	2402.5	581.9	2425.6	4
AW	1	thousands	720.3	1172.7	2771	98.1	145.2	208.9	76.8	76.691	76.908	0.217	42	3	4	2	3	1			884.6	1442.7	832.6	1336.9	716.6	1167.6	567.1	1166.6	525.2	1308.4	5
IH	1	visit	548.6	1722.9	3033.3	98.2	314.6	319.4	77.306	77.281	77.33	0.049	1	3	4	2	1	1			548.8	1699.6	548.6	1712.7	548.6	1722.9	544.5	1713.6	542.1	1715.8	5
EY	1	barbados	484.7	2421.1	2904.7	89.2	292.4	570.1	77.808	77.753	77.862	0.109	21	1	4	2	1	1			474.9	2289.2	470.8	2371.6	484.7	2421.1	506	2352.7	513.6	2250	5
IY	1	beaches	472.3	2580.9	3257.9	193.6	253.5	573	78.512	78.478	78.546	0.068	11	2	5	1	1	1			461.5	2494	469.9	2544	472.3	2580.9	480.8	2575.2	486.9	2520.3	4
AW	1	mountains	873.3	1173.8	2521.7	208.8	126.1	816.4	80.136	80.066	80.205	0.139	42	4	4	2	2	4			819.7	1289.6	896.1	1231.6	873.3	1173.8	715.3	1149.1	632.6	1217.7	6
AA	1	large	793.2	1356.8	2687.3	72.6	130.2	338.6	82.112	82.043	82.18	0.137	5	2	5	2	7	0			788.5	1400.3	797.1	1363	793.2	1356.8	774.6	1424.7	700.5	1583.7	5
AH	1	number	793.6	1428.2	2706.2	135.6	311	548.6	82.384	82.359	82.409	0.05	6	4	1	2	4	4			763.1	1527.8	782.1	1485.9	793.6	1428.2	786.8	1375.3	772.7	1354.9	5
IH	1	visitors	588	1713.1	2842.5	141.3	279.9	303	82.742	82.721	82.763	0.042	1	3	4	2	1	2			583.9	1694.4	587.4	1703.3	588	1713.1	574.9	1716	569.9	1712.9	5
UW	1	blue	457.2	1243.5	2327.7	66.2	235.6	346.9	84.243	84.186	84.299	0.113	73	0	0	0	8	0			440.5	1240.9	444.3	1260.8	457.2	1243.5	460.3	1169.9	457.3	1110.4	6
