overall.token.number	speaker.id	t.or.s	wl.or.rp	nationality	countrybirth.t	ethnicity	school	form.s	education.t	interview.1(liveadabroad)	interview.2(durationabroad)	interview3(attitudes.etc)	lexical set	mono.or.di	age	city	ethnicity	first_name	last_name	location	name	sex	state	tiernum	year	years_of_schooling	vowel	stress	pre_word	word	fol_word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	plt_vclass	plt_manner	plt_place	plt_voice	plt_preseg	plt_folseq	style	glide	pre_seg	fol_seg	context	vowel_index	pre_word_trans	word_trans	fol_word_trans	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	F*1_normalized	F*2_normalized	F*1gl_normalized	F*2gl_normalized	euclid.onset.glide.norm	euclid.dist.token.to.mean.onset	euclid.dist.token.to.mean.glide	nFormants	oFormants		poles	bandwidths	man.check	nFormants.man	reliabel	besser.als.default	comment	pot.exclusion.nachIQR	pot.exclusion.numeric	pot.exclusion.nachEuclidtoMeanperVowel	pot.exclusion.both.euclid.visual
170	2	s	RP	TT	Trinidad	AT	EDW						BATH	m	16						./INPUTFILES/Students/EDW_5_Shayna/	F		0			AE	1	sp	bath	sp	1011.5	1532.4	3165.5	168.2	445.6	1398.5	7.65	7.554	7.746	0.192	ae	stop	apical	voiceless	oral_labial				B	T	internal	2	SP	B AE1 T	SP	926.6338	1021.7917	979.0609	1414.3046	990.9512	1448.7307	933.193	1472.1118	955.9673	1332.199	583.052	1253.371				8.2093693424		5	5	[1055.9409085157909, 1693.742253310173],[1011.4220739426537, 1531.0561359681883, 3161.2559811211945],[990.951165736031, 1448.730651302195, 2397.2208458578452, 3893.6921909214807],[741.779838044028, 1121.4603499233344, 1667.439130996037, 2718.2562050676074, 4040.810512360309]	[176.26516460208967, 732.1759741362861],[169.27800830102865, 452.30776744259197, 1384.5963294948053],[146.99668739625173, 323.2882779352457, 808.7203738305013, 734.6774213238982],[198.07878331103728, 99.66528358599328, 159.86395220555832, 289.2924146662453, 324.47408472378385]			4	2	3			99	99	99
302	3	s	WL	TT	Trinidad	AT	FC						BATH	m	18						./INPUTFILES/Students/FC_2_Jordan/	M		0			AE	1	sp	dance	sp	694.1	1243.4	2705.2	67.1	69.3	296.5	22.949	22.855	23.042	0.187	ae	nasal	apical	voiced	oral_apical	complex_coda			D	N	internal	2	SP	D AE1 N S	SP	669.4948	1305.1967	705.2596	1162.4721	695.9726	1244.0671	695.3568	1226.2225	658.1006	1255.4061	606.419	1290.73				38.8051159127		6	6	[937.006645109962, 1388.3575266489786, 3058.4621274158944],[723.0004247856333, 1267.4694184305847, 2859.0194282551265, 3255.6411862854566],[696.1544942446995, 1241.2405720895217, 2718.9644027594336, 3171.9258498480285, 3822.068737894866],[695.9725609121042, 1244.0670740382523, 1418.9869217671035, 2706.2139565707535, 3163.15901571839, 4003.954532439708]	[354.64537746982535, 1269.329341058509, 107.50747877871082],[165.68863807002322, 170.16595467577278, 259.8804715877233, 263.0021908809579],[73.40590525242061, 76.73109055814656, 334.75572649178434, 178.55698783151726, 2952.4789377531956],[78.63446763297877, 84.57762720462485, 2609.7181486154154, 247.36210864439371, 133.16106196851595, 1169.8773774912943]			5	3	2			99	99	99
305	3	s	WL	TT	Trinidad	AT	FC						BATH	m	18						./INPUTFILES/Students/FC_2_Jordan/	M		0			AE	1	sp	after	sp	688.4	1104.8	2579.8	54	56.8	65.3	25.536	25.466	25.606	0.14	ae	fricative	labiodental	voiceless		complex_one_syl			SP	F	initial	1	SP	AE1 F T ER0	SP	692.5184	1119.0608	699.8519	1123.4855	688.4123	1104.8035	676.1913	1116.2374	666.0642	1126.3478	601.445	1176.966				86.7969187299		5	3	[907.1253074026314, 2639.2892753308934],[734.7454536125626, 1131.5406916608808, 2604.4027326535656, 3758.760073155926],[688.4122928874626, 1104.803542038503, 2579.813203416987, 2959.7502844586625, 3873.4238430173423],[685.9795114553211, 1101.6175822764264, 2582.8152872220876, 2788.365983668421, 3833.391708877901]	[153.54914404466416, 183.56118087729095],[186.69930037469186, 227.2038464480082, 38.03844315275121, 270.07315944116584],[53.98003025336167, 56.8414827984002, 65.27624643701981, 957.9515070356558, 310.71192818874573],[47.641599613809376, 50.86994664616448, 78.79872544891663, 978.1307387498991, 301.5859161433138]			5	1	4			99	99	99
307	3	s	RP	TT	Trinidad	AT	FC						BATH	m	18						./INPUTFILES/Students/FC_2_Jordan/	M		0			AE	1	sp	sample	sp	717	1137.6	2667.3	125.9	97.1	439.2	4.177	4.117	4.237	0.12	ae	nasal	labial	voiced	oral_apical	complex_one_syl			S	M	internal	2	SP	S AE1 M P AH0 L	SP	679.8705	1217.0361	708.3458	1162.8305	716.9577	1137.5705	680.8533	1114.8419	671.4558	1058.0619	626.22	1203.933				73.0286467696		5	5	[980.927463476527, 3048.1555453353353],[772.4569884032522, 1152.9257706625, 2974.216831951309, 4665.794487803145],[716.9576587629222, 1137.5705255266503, 2667.283080355991, 3220.4168062062217],[710.0193379111976, 1133.3197663085107, 1333.757095167665, 2683.7848802864614, 3229.871938830356]	[147.19818825809926, 541.155989424703],[259.4186191257304, 252.81319893338772, 216.51311488272364, 2424.1361955581287],[125.89218992436317, 97.06852961151816, 439.24121946891165, 295.71605391337425],[127.38324672129741, 102.92084452639465, 2670.5589461770337, 404.46672678642534, 281.21024491438953]			5	1	4			99	99	99
312	3	s	RP	TT	Trinidad	AT	FC						BATH	m	18						./INPUTFILES/Students/FC_2_Jordan/	M		0			AE	1	sp	bath	sp	686.7	1135.5	2570.5	62.1	70	161.9	8.582	8.492	8.672	0.18	ae	fricative	interdental	voiceless	oral_labial				B	TH	internal	2	SP	B AE1 TH	SP	658.7682	1135.9314	669.2471	1120.0473	686.7185	1135.5048	680.4582	1146.8423	634.5392	1179.442	599.944	1202.247				62.0309047572		5	5	[890.8530061419857, 2149.955482935228, 2875.517944096411],[766.1161917417714, 1163.884422309214, 2681.446466599311, 3657.4827366336026],[686.7185148269684, 1135.5048022248363, 2570.5266622455943, 3119.4445108828722, 3827.268435139379],[681.5101188618286, 1128.247464544051, 2556.498432186338, 2941.0822672329905, 3744.237558052679]	[185.54211279117624, 3354.490819665045, 507.057149143557],[257.42227094363056, 389.62730537110997, 135.46093580864917, 280.07209181227284],[62.08545146369204, 69.99222376013893, 161.93435080187598, 590.1373521448037, 389.966713512204],[48.24170715879556, 56.327666958338554, 236.00724541129657, 677.1131466565458, 368.95835311402266]			5	1	4			99	99	99
380	3	s	RP	TT	Trinidad	AT	FC						BATH	m	18						./INPUTFILES/Students/FC_2_Jordan/	M		0			AE	1	and	dance	sp	660.7	1241.6	2404.8	104.5	119.7	443.1	66.246	66.174	66.319	0.145	ae	nasal	apical	voiced	oral_apical	complex_coda			D	N	internal	2	AH0 N	D AE1 N S	SP	612.1356	1301.1007	649.3168	1247.8821	659.8071	1237.8876	656.2414	1214.3067	610.5979	1260.4887	577.421	1289.326				28.2241824859		6	5	[877.6246342652273, 1440.3997015790342, 3024.421805513116],[711.7671857160553, 1294.5004058883603, 2702.631050421568, 3341.0207987420417],[662.418424399293, 1242.4514717116078, 2409.4403099509846, 3157.3141437298796, 3937.512252882227],[659.8071065547352, 1237.8875687602474, 2390.4131929507266, 3167.2725451402594, 3287.480496287072]	[407.4985218025878, 993.0516628941328, 301.1850931624445],[237.92172509628315, 276.9485901074139, 471.6568842711115, 503.05730976403623],[88.24505782840683, 102.03758787662596, 400.5901683021109, 292.89877235524614, 1899.4587588274342],[82.8174445283601, 98.68822705129277, 466.50621635989137, 355.42690561463445, 1899.373184444608]			5	3	2			99	99	99
422	3	s	INT	TT	Trinidad	AT	FC						BATH	m	18						./INPUTFILES/Students/FC_2_Jordan/	M		0			AE	1	sp	after	school	626.1	1099	2372.4	83.2	55.3	264.4	587.206	587.163	587.249	0.086	ae	fricative	labiodental	voiceless		complex_one_syl			SP	F	initial	1	SP	AE1 F T ER0	S K UW1 L	653.3277	1162.3604	632.7412	1146.4203	626.0948	1098.9554	584.3456	1076.6427	583.8864	1075.455	547.391	1172.191				95.302113943		5	3	[971.6555748220469, 2466.3382603309856],[681.0473121194603, 1122.4732155489319, 2479.235455450824, 4019.4727151540483],[626.0947792067049, 1098.9553647761031, 2372.3735796791643, 2744.695291097806, 4206.437550403479],[616.983269106835, 1091.3436432520782, 1845.9910850987428, 2420.897349777837, 3058.0822770240893, 4274.791483267859]	[154.56100509643937, 418.45290454919746],[268.1933205760716, 183.76860726762172, 132.64109857352813, 787.3195919571755],[83.2348050472626, 55.331016692258366, 264.38997186295876, 690.7976753504133, 461.7746414747801],[74.94567551185327, 59.327908801332555, 1556.7987780160436, 189.85904449989008, 712.9638135081476, 295.98859499080555]			5	2	4			99	99	99
451	4	s	WL	TT	Trinidad	IT	FC						BATH	m	18						./INPUTFILES/Students/FC_6_Aaron/	M		0			AE	1	sp	dance	sp	783.8	1501	2873.3	218.8	165.6	148.2	19.008	18.896	19.119	0.223	ae	nasal	apical	voiced	oral_apical	complex_coda			D	N	internal	2	SP	D AE1 N S	SP	775.1814	1670.8268	758.8026	1602.7132	783.8268	1501.011	753.4313	1437.7086	732.3027	1435.8148	584.835	1319.663				58.4437537638		4	5	[1220.0746423597961, 1353.1170323328447, 2979.5136076451004],[783.8268131769436, 1501.0109691776315, 2873.2594019668977, 3460.1411893575278],[756.8395115390292, 1474.379248509482, 2373.508388020984, 2898.0442190667873, 3609.8513729104898],[705.6481992471062, 1385.7245903295488, 1704.5017810360907, 2872.1957255482102, 3414.178528081259, 4028.1337759233434]	[681.9435399599477, 1416.773502133907, 165.85509385266096],[218.835216439802, 165.59842731830983, 148.20757397378688, 630.2160184779409],[183.52666086403403, 167.58264037801212, 2084.446398033039, 151.66440059063675, 655.9660041088728],[125.84854851467118, 265.16594599977947, 590.781482562428, 108.1961885369318, 521.4348627512394, 1526.8211085060127]			4	2	2			99	99	99
454	4	s	WL	TT	Trinidad	IT	FC						BATH	m	18						./INPUTFILES/Students/FC_6_Aaron/	M		0			AE	1	sp	after	sp	776.7	1280.6	2630.5	92.4	126.3	181	21.029	20.957	21.1	0.143	ae	fricative	labiodental	voiceless		complex_one_syl			SP	F	initial	1	SP	AE1 F T ER0	SP	775.7371	1322.55	768.686	1274.0821	776.71	1280.56	780.9457	1246.6563	741.0315	1208.6137	579.11	1174.438				86.9243263074		5	5	[993.8649218049663, 1717.4704705270083, 2851.7198509381396],[808.0030246386624, 1314.1998467391004, 2690.1870234577564, 3738.8041860909484],[776.70999685251, 1280.5599847178146, 2630.4780728237492, 3537.846759584799, 4242.3127913969965],[760.9247938744116, 1254.30182442146, 2004.777816411288, 2666.353077525567, 3585.3431471635517]	[229.7246251930781, 3004.153116934634, 571.4138830711607],[165.54125939216524, 246.1720013830594, 167.0026490498291, 487.85632542071653],[92.38012823825431, 126.28965011666878, 180.95421631386637, 628.4136551320652, 3578.4129494598924],[79.37675212354176, 128.2071846092116, 1584.3154560625635, 173.5750308704425, 397.22518782017517]			5	1	4			99	99	99
456	4	s	RP	TT	Trinidad	IT	FC						BATH	m	18						./INPUTFILES/Students/FC_6_Aaron/	M		0			AE	1	sp	sample	sp	754.1	1378.2	1791.6	128.4	123	1060.4	3.623	3.56	3.686	0.126	ae	nasal	labial	voiced	oral_apical	complex_one_syl			S	M	internal	2	SP	S AE1 M P AH0 L	SP	698.9924	1480.5474	713.1742	1387.6725	754.1195	1378.2201	719.616	1320.1873	703.125	1213.8981	561.092	1238.764				30.1528758164		6	6	[524.4539569966369, 1250.3054368784296, 3402.9665357838303],[812.295469477715, 1422.1842501944743, 3120.302638828757, 3798.380064342593],[782.5853375095863, 1400.7826187404269, 2278.6245955431905, 3172.480218867689, 3862.3455727039263],[754.1194617227421, 1378.2201123316129, 1791.5555096267642, 3153.6590361832955, 3697.96151337628, 3842.5601393757593]	[4308.294236010836, 279.10829808573504, 293.65988727451276],[185.0789255102405, 99.17813631196486, 172.78279142753925, 237.2397841485704],[157.46207458968271, 102.95091700510133, 1783.8068401180465, 155.07514677079268, 175.60071706853915],[128.43981508831178, 123.00298559547132, 1060.3863756751043, 134.9567661084692, 2738.332103614899, 187.55505318779043]			6	2	2			99	99	99
461	4	s	RP	TT	Trinidad	IT	FC						BATH	m	18						./INPUTFILES/Students/FC_6_Aaron/	M		0			AE	1	sp	bath	sp	803.2	1314.5	2919.5	116.9	105.6	79.1	7.206	7.132	7.28	0.148	ae	fricative	interdental	voiceless	oral_labial				B	TH	internal	2	SP	B AE1 TH	SP	743.5381	1283.7073	788.0158	1297.0946	803.2262	1314.5057	826.2304	1350.3555	800.5179	1360.7452	600.319	1196.629				67.5103891412		4	4	[1090.870806157371, 3035.1323964323465],[803.2262156746148, 1314.505721226543, 2919.547646838291, 3907.8437070320756],[778.256567034531, 1285.464513359807, 2366.5725849844603, 2950.251272708532, 3984.5434113962656],[760.0748500815371, 1268.4719198035084, 1524.6222071361544, 2907.1306897157606, 3219.118965312859, 4047.9146840912313]	[198.5100686984203, 383.19706739727917],[116.90678421391083, 105.62051508200355, 79.11300635854326, 310.2431832454907],[80.91317020543082, 84.52243553507773, 1437.0612543172595, 99.1150841540108, 188.1050765893048],[79.94108159982758, 131.63512813872978, 916.1786141108364, 131.00262329906477, 701.1972201924532, 140.06985281516424]			4	2	2			99	99	99
529	4	s	RP	TT	Trinidad	IT	FC						BATH	m	18						./INPUTFILES/Students/FC_6_Aaron/	M		0			AE	1	and	dance	sp	713.6	1421.7	2651.8	46.4	157.7	581.4	53.026	52.959	53.092	0.133	ae	nasal	apical	voiced	oral_apical	complex_coda			D	N	internal	2	AE1 N	D AE1 N S	SP	735.3965	1514.4588	720.9642	1453.5684	713.6445	1421.6571	702.9939	1441.2042	698.0136	1433.576	528.716	1267.416				52.7153324186		5	4	[762.5454777666196, 1624.353211209476, 3443.159809037987],[715.9207061619638, 1436.2836739219576, 2777.451681208004, 3861.0705458805423],[713.6444800434455, 1421.65709553734, 2651.8343358699294, 3664.4971887789634],[701.8272095185447, 1143.822174891988, 1470.825415429513, 2638.4569087886275, 3513.4563941166107, 4332.621611285263]	[165.96697849443999, 573.7283452610154, 696.5027682104057],[53.64645482479911, 181.61943697782235, 593.3005900401326, 714.6544830929438],[46.385141571973406, 157.65581907515292, 581.3999601314769, 661.6578367213448],[51.30720206680131, 868.6280007682061, 218.79533843656225, 306.06986413449715, 404.8440472874174, 750.7624026279052]			5	2	4			99	99	99
