 , , male, , , , 																															
																															
vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants
EH	2	advent	550.3	1466.8	2078.3	47.1	90.7	777.4	29.333	29.285	29.381	0.096	2	4	4	2	1	3			510.5	1394.3	532.1	1449.4	550.3	1466.8	570.9	1468.1	561.1	1450.6	6
IH	2	international	466.9	1833.5	2303.2	86	119	492.5	30.183	30.167	30.198	0.031	1	4	4	2	0	5			469.1	1851.7	469.1	1851.7	466.9	1833.5	463.3	1805.4	463.3	1805.4	5
AE	1	international	717.3	1365.4	2086.7	86.8	86.3	644.3	30.484	30.44	30.527	0.087	3	3	5	1	4	2			674.5	1407.6	707.6	1392.6	717.3	1365.4	711.8	1351.6	700.8	1345.3	6
AY	1	flights	574.1	1571.2	2060.6	71.3	107.7	255.9	31.071	31.01	31.132	0.122	47	1	4	1	8	3		s	634.3	1362.4	614.2	1459.9	574.1	1571.2	525.6	1664.6	475.9	1685.1	5
AY	1	nineteen	619.4	1744.4	2213.9	122.7	156.6	493.2	31.796	31.733	31.859	0.126	41	4	4	2	4	4		s	679	1527.9	671.1	1644.4	619.4	1744.4	571.2	1865.2	553.6	1842.4	5
IY	2	nineteen	365.8	1971.2	3614	139.3	342.8	1197.9	31.978	31.945	32.011	0.066	11	4	4	2	3	0			368.4	2089.1	369.1	2070.8	365.8	1971.2	363.4	1899.9	360.5	1843.6	4
IH	1	sixties	431.1	1556.8	1957.9	57	134	277.3	32.189	32.174	32.203	0.029	1	1	6	1	3	4			432.7	1565.7	432.7	1565.7	431.1	1556.8	429.1	1550.4	429.1	1550.4	5
AA	1	market	794.4	1093.1	3188.9	138.1	160	737.3	33.61	33.535	33.684	0.149	5	1	6	1	2	1			722.4	1056.1	763.8	1095.3	794.4	1093.1	815	1094.7	807.1	1110.9	4
AA	1	started	677.7	1171.6	3071.9	132.4	149.8	971.9	34.17	34.11	34.23	0.12	5	1	4	1	3	1			621.5	1241.5	661.6	1185.4	677.7	1171.6	648.7	1190.9	616.3	1261.1	4
OW	1	open	446.8	623.8	2438.9	68.7	31.9	358.8	34.628	34.596	34.659	0.063	62	1	1	1	0	1			426.2	606.7	439.9	615.3	446.8	623.8	437.9	624.8	434	617.3	6
AE	1	man	700	1287.6	1682.5	138	113.7	997.8	36.327	36.261	36.392	0.131	3	4	4	2	2	0			706.3	1204.9	703.8	1268.6	700	1287.6	718.8	1316.1	716.7	1349.4	6
EY	1	today	425.9	2027.2	2432	85	221.7	310.5	37.656	37.538	37.775	0.237	22	0	0	0	3	0			398.6	1980	375.6	2011.6	427.3	2027.7	427.2	2059.2	428.5	2064.3	5
IH	1	visit	423	1527.6	2296.9	65.9	165.2	483.9	42.504	42.47	42.538	0.068	1	3	4	2	1	1			409.8	1532.2	421.1	1546.7	423	1527.6	410.1	1490.5	389.4	1453	6
IY	1	each	398.7	2274.1	3330.8	160.3	162	289.5	43.494	43.458	43.53	0.072	11	2	5	1	0	0			392.4	2254	401	2254	398.7	2274.1	387.1	2263.1	381.6	2223.6	4
AH	1	come	615.7	1130.2	2091.5	47.5	71.2	223.7	45.155	45.103	45.206	0.103	6	4	1	2	6	0			579.2	1120.6	603.1	1123.8	616.1	1130.5	610.1	1120.6	619.1	1086.7	5
OW	1	both	407.8	713	2376.8	63.2	25.4	146.9	45.41	45.359	45.461	0.102	62	3	3	1	1	0			394.9	677.7	397.2	685.9	407.8	713	422.5	782	426.2	873.2	6
IY	1	sea	262.1	2255.1	3509.7	348.8	263.8	373.5	47.118	47.041	47.194	0.153	12	0	0	0	3	0			301.6	2064.3	273.5	2204.9	262.1	2255.1	304.8	2283.9	406.4	2337	4
AH	1	some	600.7	1241.9	1945.1	66.8	89.6	806.1	47.832	47.796	47.868	0.072	6	4	1	2	3	0			529.7	1222.3	564	1257.4	600.7	1241.9	628.6	1216.2	626	1180.8	5
EY	1	staying	398.2	1859.6	2485.8	76.6	132.6	288.9	48.19	48.124	48.256	0.132	21	0	0	0	3	1			416.1	1738.9	401.7	1814.4	398.2	1859.6	417.3	1932.4	438	1998.1	5
AW	1	hours	439.8	804	2143.1	165.4	82.1	372.8	49.129	49.013	49.244	0.231	42	0	0	0	0	1			615.5	950.4	541.4	889.4	441.2	805.1	461.9	833.8	549.6	955.6	5
AY	1	island	723.3	1599.5	2359.5	125.7	169.8	621.8	50.575	50.495	50.655	0.16	41	5	4	2	0	1		s	996.5	1459.8	878.7	1493.1	723.3	1599.5	616.5	1745.7	534.7	1887.7	4
AY	1	island	723.1	1566.8	3553.1	223.5	164.4	425.2	51.445	51.376	51.515	0.139	41	5	4	2	0	1		s	832.1	1501.3	794.4	1486.7	723.1	1566.8	660.1	1685.1	582.3	1729.8	3
AW	1	found	729.9	1012	2144.9	155.6	92.5	642.4	53.533	53.458	53.607	0.149	42	4	4	2	1	3			621.9	1068.3	646.7	1058.7	729.9	1012	796.5	896.5	798.3	911.7	5
AY	1	islands	627.6	1658	2338.5	110.9	130.3	649.3	54.141	54.083	54.199	0.116	41	5	4	2	0	1		m	762.4	1556	692.1	1596.2	627.6	1658	578.7	1712.1	554.2	1693.1	4
EY	1	remain	408.4	2109.3	3060.4	163.5	66.9	697.5	54.868	54.801	54.934	0.133	21	4	4	2	2	0			417	2059.9	408.9	2088.7	408.4	2109.3	427.2	2107.9	456	2051.7	4
IY	1	seas	340	2171.7	3627.8	179.1	394.6	252.6	57.479	57.352	57.606	0.254	11	3	4	2	3	0			341.4	2097.1	346.6	2137.6	340	2171.7	319.2	2134.1	332	2266.9	4
AE	1	dazzling	742.5	1274	2201.4	64.9	150.6	325	58.462	58.376	58.547	0.171	3	3	4	2	3	1			672.7	1428.4	725.7	1292.1	742.3	1274.6	721.9	1291.2	654.6	1358.9	4
AE	1	sand	755.6	1396.9	1631.4	209.9	181.1	758.7	61.557	61.483	61.631	0.148	3	4	4	2	3	3			662.8	1268.5	764.9	1419.3	755.6	1396.9	706.4	1384.4	661.5	1408.8	6
IY	1	beaches	300.5	2090.2	2779.6	155.7	226.7	1049.4	61.907	61.875	61.939	0.064	11	2	5	1	1	1			285.8	1860.2	294	2047.7	300.5	2090.2	309.9	2068.2	314.9	2055.2	5
ER	1	birds	420.4	1237.1	2245.8	38.7	148.5	326.1	63.576	63.464	63.689	0.225	94	1	4	2	1	3			411.3	1213.7	411.7	1194.8	420.5	1239.1	420.7	1283.9	425.9	1333.4	6
AH	1	sunny	642.6	1374.4	2103.6	70.9	122.9	1919.7	64.356	64.317	64.394	0.077	6	4	4	2	3	1			570.3	1232.3	604.5	1287.2	642.6	1374.4	654.1	1447.9	617.4	1484.8	6
AH	1	stunning	589.8	1347	3349.1	109.5	163.5	1366.9	65.804	65.764	65.845	0.081	6	4	4	2	3	1			556.4	1360.2	566.7	1306.2	589.8	1347	625.3	1377.3	619.5	1389.6	4
AH	1	sunsets	598.5	1281.8	2050.2	68.8	84	552.1	66.283	66.246	66.319	0.073	6	4	4	2	3	4			532.8	1259.5	568.2	1271.4	598.5	1281.8	621.7	1297.2	620.2	1303.1	5
EH	2	sunsets	551.3	1432.4	2099.6	63.7	73.1	344.4	66.566	66.52	66.612	0.092	2	1	4	1	3	3			484.6	1390.9	518.2	1437.9	551.3	1432.4	564.2	1414.6	547.6	1385.1	5
AY	1	lively	628.2	1675.4	2922	35.9	126.3	1297.8	67.606	67.509	67.703	0.194	41	3	2	2	7	1		s	719.8	1390.2	698.1	1546.6	628.2	1675.4	529.5	1732	507.5	1864.6	4
AE	1	dance	724.4	1353.2	2087.9	148.9	96	505	68.911	68.836	68.987	0.151	3	4	4	2	3	3			715.3	1388.4	723.6	1345.9	724.4	1353.2	723	1363.4	696.7	1359.2	5
AO	1	course	509.5	812.8	2628.8	181.9	160.3	636.6	69.881	69.806	69.957	0.151	53	3	4	1	6	0			478.1	782.1	527.3	742.2	509.5	812.8	517.1	930	576.7	1100.8	5
IY	1	people	318.2	1913.1	2908	234.1	133.4	923.7	72.361	72.346	72.376	0.03	11	1	1	1	1	1			318.6	1942.2	318.6	1942.2	318.2	1913.1	310.8	1882	310.8	1882	4
IH	1	visitors	392.6	1442.4	2286.5	43.3	179.3	640.3	74.493	74.471	74.514	0.043	1	3	4	2	1	2			402.5	1439.6	400.3	1440.8	392.6	1442.4	383.6	1442.4	380	1441.9	6
EY	1	favoured	373.1	1917.7	2409.7	76.6	104.1	350.1	75.173	75.123	75.223	0.1	21	3	2	2	1	1			383.9	1809.9	383.1	1898.3	373.1	1917.7	367.3	1871.1	380	1782.6	5
AY	1	islands	600.8	1686	2816.3	101	113.7	1300	75.539	75.473	75.604	0.131	41	5	4	2	0	1		m	758.6	1495.3	667.5	1566.9	600.8	1686	540.9	1718.5	534.2	1676	4
AO	1	according	443.8	896.1	2614.9	55.8	59.4	1145.4	76.051	76.014	76.087	0.073	53	1	4	2	6	1			463.5	790.8	449.3	825.3	443.8	896.1	437.9	977.5	428.1	1067.9	5
AE	2	nationality	704.3	1312.3	1920.2	93.7	89	336	76.539	76.5	76.578	0.078	3	3	5	1	4	2			617.9	1395.3	672.2	1357.8	704.3	1312.3	715.4	1279.7	708.1	1257.7	5
IH	1	english	382.5	2012.1	2087.1	34.3	1588.8	812.6	78.179	78.15	78.207	0.057	1	4	6	2	0	4			376.5	2008.3	381.1	2014.5	382.5	2012.1	386.6	2045.5	402.9	2094.1	6
IH	2	english	468.3	1454.7	2251.4	67.8	414.1	457.9	78.373	78.339	78.406	0.067	1	3	5	1	8	0			501.5	1402.4	495.4	1446.5	468.3	1454.7	441.2	1517.2	417.8	1621.5	5
IH	1	visiting	425.2	1507.5	2248.5	60.7	314.7	195.4	78.625	78.605	78.645	0.04	1	3	4	2	1	2			427.3	1532.6	427.3	1527	425.2	1507.5	420.3	1490.5	418.8	1484.6	6
EY	1	barbados	418.1	1725.5	2211.3	66.3	116.1	494.4	79.749	79.713	79.785	0.072	21	1	4	2	1	1			398.9	1596.1	413.1	1687.5	418.1	1725.5	415.3	1719.2	407.8	1704.4	6
EY	1	jamaica	436.3	1866.3	2425.1	60.4	117.1	306.8	80.649	80.608	80.69	0.082	21	1	6	1	2	1			438.9	1777.1	443.9	1841.3	436.3	1866.3	423.3	1895.9	414.2	1936.4	5
EH	1	heading	525.8	1569.2	2095.1	50.7	131.2	440.5	82.315	82.288	82.341	0.053	2	1	4	2	0	1			534.6	1585.4	535.3	1562.8	525.8	1569.2	510.9	1581.3	493.7	1587.8	5
EY	1	today's	404.3	1907	3475.6	121	110.7	2552.4	83.891	83.81	83.971	0.161	21	3	4	2	3	0			380.8	1883.3	384.6	1922.9	404.3	1907	426.1	1869.5	427.5	1756.6	4
AW	1	without	567.7	1202.4	2239.2	33.7	155.5	261.6	85.516	85.467	85.564	0.097	42	1	4	1	3	0			547	1246.4	571.2	1248.7	567.7	1202.4	565.3	1168.1	557.8	1158.5	6
AW	1	doubt	579.1	1073.3	2357.3	61.1	112.9	494.4	85.822	85.741	85.903	0.162	42	1	4	1	3	0			566	1267.6	590	1185.3	579.1	1073.3	560.1	968.9	492.7	971.6	5
AO	1	more	542.4	840.1	2711.1	77.2	40.2	445.4	86.283	86.212	86.354	0.142	53	5	4	2	2	0			515.9	759.5	534.5	781.2	542.4	840.1	546.2	952.7	573.4	1074.6	5
AY	1	likely	582.3	1552.4	2179.3	42.4	78.7	321	86.479	86.439	86.519	0.08	47	1	6	1	7	1		s	607.6	1412.2	602.4	1485.6	582.3	1552.4	552	1621	520.5	1676.1	5
IH	1	pick	446	1798	3226.8	129.6	81.3	1051.6	86.898	86.88	86.915	0.035	1	1	6	1	1	0			428.9	1776.8	428.9	1776.8	446	1798	455.5	1816.9	455.5	1816.9	4
AY	1	island	689.3	1589.7	2470.1	152.9	156.3	1091.9	87.182	87.107	87.257	0.15	41	5	4	2	0	1		s	834.8	1378.7	780.9	1487.7	689.3	1589.7	634.6	1680.6	615.2	1685.2	4
AO	1	offers	485.4	703.3	2370.3	69.9	59.8	369.8	88.07	88.013	88.127	0.114	53	3	2	1	0	1			444	671.1	454.4	674.8	485.4	703.3	491.1	735.5	476.8	754.5	6
IH	2	historical	391.5	1416.5	2206.6	89.5	93	663	89.929	89.908	89.951	0.043	1	3	4	1	0	5			389.6	1420.5	391.4	1418.6	391.4	1415.8	391	1411.4	391.4	1409.1	6
OW	2	associations	392.4	1021.6	2345.4	73.6	69	254.2	90.695	90.666	90.724	0.058	62	3	4	1	3	2			381.1	1002.8	382.5	1004.5	392.4	1021.6	404.5	1045.3	408.8	1096.8	6
EY	1	associations	335.2	1906.1	2220.7	80.2	173.8	372.7	90.934	90.868	90.999	0.131	21	3	5	1	0	1			327	1895.5	330.4	1947.9	335.2	1906.1	359.8	1832.8	363.1	1787.4	5
AW	1	thousands	595.1	973.3	2380.1	59.1	85.7	315	92.344	92.231	92.457	0.226	42	3	4	2	3	1			640.7	1160.2	637.1	1053.5	595.1	973.3	494.5	900.5	507.5	942.4	5
IH	1	visit	410.8	1459.1	2211	60	108.5	247	92.984	92.956	93.012	0.056	1	3	4	2	1	1			420	1469.3	416.5	1469.2	410.8	1459.1	401.9	1450.9	387.1	1441.4	6
EY	1	barbados	432.6	1591.4	2052.3	61.8	123.2	246.9	93.468	93.435	93.501	0.066	21	1	4	2	1	1			394.4	1488.5	416.7	1550	432.6	1591.4	434.2	1616.8	425.4	1607.1	5
IY	1	beaches	282.1	2048.8	2312.6	36.5	135.3	825.5	94.095	94.065	94.125	0.06	11	2	5	1	1	1			285	1901.6	281	2008.9	282.1	2048.8	283.4	2046.1	285.2	2043.4	5
AW	1	mountains	628.3	901.6	1728.8	112.1	92.1	799.3	96.625	96.568	96.682	0.114	42	4	4	2	2	4			626.8	997.9	634.8	964.9	628.3	901.6	618.5	830.7	556.9	937	6
AA	1	large	674.1	1179.5	3353.8	137	157.2	302.9	98.551	98.438	98.663	0.225	5	2	5	2	7	0			629.7	1185.6	661.8	1181.6	674.1	1179.5	700.8	1240.4	687.8	1343.4	4
AH	1	number	615.3	1226.8	1727.4	93.5	94.3	1023.8	98.898	98.865	98.93	0.065	6	4	1	2	4	4			564.1	1309	596.3	1271.4	615.3	1226.8	620.8	1178.8	606.8	1117.2	6
IH	1	visitors	416.7	1418.2	2265.2	61.4	129.8	683.3	99.31	99.291	99.329	0.038	1	3	4	2	1	2			425	1404.1	424.2	1407.4	416.7	1418.2	402.6	1420.2	400.5	1420.2	6
UW	1	blue	402.4	1341.7	3335.8	458.8	272.9	338.3	101.175	101.09	101.26	0.17	73	0	0	0	8	0			323.8	992.1	354.2	832.6	402.4	1341.7	334.5	688.1	412.9	601.5	4
